[[1,'Win or Freeze','151','C'],[
2,'Modified GCD','75','C'],[
3,'Alyona and mex','740','C'],[
4,'Hamburgers','371','C'],[
5,'Wet Shark and Flowers','621','C'],[
6,'Predict Outcome of the Game','451','C'],[
7,'Balls and Boxes','260','C'],[
8,'Alice and Bob','347','C'],[
9,'Mahmoud and Ehab and the wrong algorithm','959','C'],[
10,'Almost Equal','1206','C'],[
11,'Substring Game in the Lesson','1220-D12-C
12,'Make It Equal','1065','C'],[
13,'Classy Numbers','1036','C'],[
14,'Colored Rooks','1068','C'],[
15,'Ilya and Matrix','313','C'],[
16,'Balls Game','430','B'],[
17,'Magical Array','84','B'],[
18,'Oh Those Palindromes','1064','C'],[
19,'Sequence Transformation','1059','C'],[
20,'King's Colors','101933-GYM-K
21,'Karen and Coffee','816','B'],[
22,'Bulls and Cows','63','C'],[
23,'Xor-tree','430','C'],[
24,'Median Smoothing','591','C'],[
25,'Coloring Trees','711','C'],[
26,'Clear Symmetry','202','C'],[
27,'','1237-D12-C2
28,'Sereja and Mirroring','426','B'],[
29,'Restoring Painting','675','B'],[
30,'Valhalla Siege','975','C'],[
31,'Enlarge GCD','1047','C'],[
32,'The Tower is Going Home','1075','C'],[
33,'Unfair Poll','758','C'],[
34,'Prime Permutation','124','C'],[
35,'Hometask','155','C'],[
36,'Terse princess','148','C'],[
37,'Hacking Cypher','490','C'],[
38,'Dreamoon and Sums','476','C'],[
39,'Try and Catch','195','C'],[
40,'Primes or Palindromes?','569','C'],[
41,'View Angle','257','C'],[
42,'Little Pony and Sort by Shift','454','B'],[
43,'Special Olympics','199','B'],[
44,'k-Tree','431','C'],[
45,'Caesar's Legions','118','D'],[
46,'No to Palindromes!','465','C'],[
47,'Triangle','408','C'],[
48,'To Add or Not to Add','231','C'],[
49,'Number of Ways','466','C'],[
50,'Queue','141','C'],[
51,'Magical Boxes','270','C'],[
52,'Find Pair','160','C'],[
53,'Multitasking','384','B'],[
54,'Non-square Equation','233','B'],[
55,'Mafia','349','C'],[
56,'Sereja and Prefixes','381','C'],[
57,'About Bacteria','199','C'],[
58,'DNA Alignment','520','C'],[
59,'Geometric Progression','567','C'],[
60,'Watering Flowers','617','C'],[
61,'Quiz','337','C'],[
62,'Secret Combination','496','B'],[
63,'MUH and Important Things','471','B'],[
64,'Lucky Mask','146','B'],[
65,'Shaass and Lights','294','C'],[
66,'Journey','721','C'],[
67,'Captain Marmot','474','C'],[
68,'The Big Race','592','C'],[
69,'Molly's Chemicals','776','C'],[
70,'Anatoly and Cockroaches','719','B'],[
71,'Opposites Attract','131','B'],[
72,'Oranges and Apples','23-D12-C
73,'The Intriguing Obsession','869','C'],[
74,'Journey','839','C'],[
75,'Little Pony and Expected Maximum','454','C'],[
76,'Maximal Area Quadrilateral','340','B'],[
77,'Checkposts','427','C'],[
78,'Literature Lesson','139','C'],[
79,'Arpa's loud Owf and Mehrdad's evil plan','742','C'],[
80,'Parity Game','298','C'],[
81,'Beauty Pageant','246','C'],[
82,'Heroes','80','C'],[
83,'Dynasty Puzzles','192','C'],[
84,'Buns','106','C'],[
85,'Counting Kangaroos is Fun','373','C'],[
86,'Corporation Mail','56','C'],[
87,'Matrix','365','C'],[
88,'Little Elephant and Interval','205','C'],[
89,'Sereja and Contest','315','C'],[
90,'Vasya and Robot','355','C'],[
91,'Hockey','96','C'],[
92,'Petya and File System','66','C'],[
93,'Kyoya and Colored Balls','554','C'],[
94,'George and Job','467','C'],[
95,'Harmony Analysis','610','C'],[
96,'Anton and Making Potions','734','C'],[
97,'Table Decorations','478','C'],[
98,'Recycling Bottles','672','C'],[
99,'Message','157','C'],[
100,'Wilbur and Points','596','C'],[
101,'Cows and Sequence','284','C'],[
102,'Ladder','279','C'],[
103,'Not Wool Sequences','239','C'],[
104,'Anagram','254','C'],[
105,'DZY Loves Sequences','447','C'],[
106,'DZY Loves Physics','445','C'],[
107,'Misha and Forest','501','C'],[
108,'Jzzhu and Chocolate','450','C'],[
109,'Cinema','670','C'],[
110,'Report','631','C'],[
111,'Bear and Prime Numbers','385','C'],[
112,'Robbery','90','C'],[
113,'Vasya and Basketball','493','C'],[
114,'Vanya and Scales','552','C'],[
115,'Pashmak and Buses','459','C'],[
116,'Fancy Number','118','C']]
